EESchema (20080528 SVN-R1106)  >> Creation date: 29/5/2008-14:36:02

#Cmp ( order = Reference )
| C1         100uf       ; 2mmradial   
| R23        50k         ; 0402        
| R24        500k        ; 0402        
| R25        180         ; 0402        
| R26        10k         ; 0402        
| R27        10k         ; 0402        
| R28        10k         ; 0402        
| R29        10k         ; 0402        
| R30        10k         ; 0402        
| R31        1.5k        ; 0402        
| R33        180k        ; 0402        
| R35        100k        ; 0402        
| R36        10k         ; 0402        
| R37        2.2k        ; 0402        
| R38        500k        ; 0402        
| R39        10k         ; 0402        
| R40        2.2k        ; 0402        
| R41        10k         ; 0402        
| R42        50k         ; 0402        
| R43        10k         ; 0402        
| R44        100k        ; 0402        
| R45        33          ; 0402        
| R46        500k        ; 0402        
| R47        180k        ; 0402        
| R49        82k         ; 0402        
| R50        82k         ; 0402        
| R51        50k         ; 0402        
| R52        500         ; 0402        
| R53        500k        ; 0402        
| R54        100k        ; 0402        
| R55        33          ; 0402        
| R56        33          ; 0402        
| R57        3.3k        ; 0402        
| R58        10k         ; 0402        
| R59        10k         ; 0402        
| R60        58k         ; 0402        
| R61        58k         ; 0402        
| R62        3.3k        ; 0402        
| R63        3.3k        ; 0402        
| R64        100k        ; 0402        
| R65        100k        ; 0402        
| R66        820k        ; 0402        
| R67        820k        ; 0402        
| R68        5.6k        ; 0402        
| R69        5.6k        ; 0402        
| R70        4.5k        ; 0402        
| R71        4.5k        ; 0402        
| R72        22k         ; 0402        
| R73        22k         ; 0402        
| R74        10k         ; 0402        
| R75        10k         ; 0402        
| R76        58k         ; 0402        
| R77        58k         ; 0402        
| R78        3.3k        ; 0402        
| R79        3.3k        ; 0402        
| R80        100k        ; 0402        
| R81        100k        ; 0402        
| R82        820k        ; 0402        
| R83        820k        ; 0402        
| R84        5.6k        ; 0402        
| R85        5.6k        ; 0402        
| R86        4.5k        ; 0402        
| R87        4.5k        ; 0402        
| R88        22k         ; 0402        
| R89        22k         ; 0402        
| R90        10k         ; 0402        
| R91        10k         ; 0402        
| R92        58k         ; 0402        
| R93        58k         ; 0402        
| R94        3.3k        ; 0402        
| R95        3.3k        ; 0402        
| R96        100k        ; 0402        
| R97        100k        ; 0402        
| R98        820k        ; 0402        
| R99        820k        ; 0402        
| R100       5.6k        ; 0402        
| R101       5.6k        ; 0402        
| R102       4.5k        ; 0402        
| R103       4.5k        ; 0402        
| R104       22k         ; 0402        
| R105       22k         ; 0402        
| R106       10k         ; 0402        
| R107       10k         ; 0402        
| R108       58k         ; 0402        
| R109       58k         ; 0402        
| R110       3.3k        ; 0402        
| R111       3.3k        ; 0402        
| R112       100k        ; 0402        
| R113       100k        ; 0402        
| R114       820k        ; 0402        
| R115       820k        ; 0402        
| R116       5.6k        ; 0402        
| R117       5.6k        ; 0402        
| R118       4.5k        ; 0402        
| R119       4.5k        ; 0402        
| R120       22k         ; 0402        
| R121       22k         ; 0402        
| R122       10k         ; 0402        
| R123       10k         ; 0402        
| R124       58k         ; 0402        
| R125       58k         ; 0402        
| R126       3.3k        ; 0402        
| R127       3.3k        ; 0402        
| R128       100k        ; 0402        
| R129       100k        ; 0402        
| R130       820k        ; 0402        
| R131       820k        ; 0402        
| R132       5.6k        ; 0402        
| R133       5.6k        ; 0402        
| R134       4.5k        ; 0402        
| R135       4.5k        ; 0402        
| R136       22k         ; 0402        
| R137       22k         ; 0402        
| R138       10k         ; 0402        
| R139       10k         ; 0402        
| R140       58k         ; 0402        
| R141       58k         ; 0402        
| R142       3.3k        ; 0402        
| R143       3.3k        ; 0402        
| R144       100k        ; 0402        
| R145       100k        ; 0402        
| R146       820k        ; 0402        
| R147       820k        ; 0402        
| R148       5.6k        ; 0402        
| R149       5.6k        ; 0402        
| R150       4.5k        ; 0402        
| R151       4.5k        ; 0402        
| R152       22k         ; 0402        
| R153       22k         ; 0402        
| R154       10k         ; 0402        
| R155       10k         ; 0402        
| R156       58k         ; 0402        
| R157       58k         ; 0402        
| R158       3.3k        ; 0402        
| R159       3.3k        ; 0402        
| R160       100k        ; 0402        
| R161       100k        ; 0402        
| R162       820k        ; 0402        
| R163       820k        ; 0402        
| R164       5.6k        ; 0402        
| R165       5.6k        ; 0402        
| R166       4.5k        ; 0402        
| R167       4.5k        ; 0402        
| R168       22k         ; 0402        
| R169       22k         ; 0402        
| R170       10k         ; 0402        
| R171       10k         ; 0402        
| R172       58k         ; 0402        
| R173       58k         ; 0402        
| R174       3.3k        ; 0402        
| R175       3.3k        ; 0402        
| R176       100k        ; 0402        
| R177       100k        ; 0402        
| R178       820k        ; 0402        
| R179       820k        ; 0402        
| R180       5.6k        ; 0402        
| R181       5.6k        ; 0402        
| R182       4.5k        ; 0402        
| R183       4.5k        ; 0402        
| R184       22k         ; 0402        
| R185       22k         ; 0402        
| R186       1.5k        ; 0402        
| R187       10k         ; 0402        
| R188       56.2        ; 0402        
| R189       25          ; 0402        
| R190       25          ; 0402        
| R191       500k        ; 0402        
| U1         TESTCON     ; 7x100mil    
| U2         JUMP        ; 2x100mil    
| U3         74LV594ADBR ; TSSOP-16    
| U4         74LCX541    ; TSSOP-20    
| U5         FAN2001     ; MLP-6       
| U6         NRF24L01-BREAK; 8x100mil    
| U7         ADM6713     ; SC-70-4     
| U8         AT45DB081D  ; SOIC-8      
| U9         SFE-MAGJACK ; SFE-MAGJACK 
| U10        MT48LC16M16A2; VFBGA-54    
| U11        FAN2001     ; MLP-6       
| U12        ADM3202     ; TSSOP-16    
| U13        FDV301N     ; SOT-23      
| U14        RS232_CON   ; DB9         
| U15        LAN83C185   ; TQFP-64     
| U16        BF534/6/7   ; MBGA-182    
| U17        10X100      ; 11x100mil   
| U18        74LCX541    ; TSSOP-20    
| U19        ADSP_JTAG_CON; 7x2x100     
| U20        10X100      ; 11x100mil   
| U21        ABM10XTAL   ; ABM10       
| U22        74LCX541    ; TSSOP-20    
| U23        BAT54S      ; SOT-23      
| U24        BAT54S      ; SOT-23      
| U25        NXT_CONN    ; NXT_CONN    
| U26        BAT54A      ; SOT-23      
| U27        S8354MC     ; SOT-23-5    
| U28        CAT32TDI    ; SOT-23-6    
| U29        MAX3421E    ; TQFP-32     
| U30        JUMP        ; 2x100mil    
| U31        BAT54A      ; SOT-23      
| U32        BAT54A      ; SOT-23      
| U34        SPI_LCD     ; HIROSE-10   
| U35        FCI_USB_B   ; FCI_USB_A   
| U36        8X2X100     ; 2x8x100mil  
| U37        8X2X100     ; 2x8x100mil  
| U39        ADUM2400    ; SOICW-16    
| U40        ADUM2400    ; SOICW-16    
| U42        ZR4040-2.5  ; SOT-23      
| U43        JUMP        ; 2x100mil    
| U44        8X100       ; 8x100mil    
| U45        BAT54S      ; SOT-23      
| U46        78250M      ; 78250       
| U47        MAX253      ; SOIC-8      
| U48        BAT54S      ; SOT-23      
| U49        JUMP        ; 2x100mil    
| U50        MNR18       ; 0603x8      
| U51        MCP3304     ; SOIC-16     
| U52        MNR18       ; 0603x8      
| U53        MCP3304     ; SOIC-16     
| U54        MNR18       ; 0603x8      
| U55        MCP3304     ; SOIC-16     
| U56        MNR18       ; 0603x8      
| U57        MCP3304     ; SOIC-16     
| U58        BC847BPN    ; SOT-363     
| U59        BC847BPN    ; SOT-363     
| U60        BC847BPN    ; SOT-363     
| U61        BC847BPN    ; SOT-363     
| U62        INA2322     ; TSSOP-14    
| U63        OPA4348     ; TSSOP-14    
| U64        BC847BPN    ; SOT-363     
| U65        BC847BPN    ; SOT-363     
| U66        BC847BPN    ; SOT-363     
| U67        BC847BPN    ; SOT-363     
| U68        INA2322     ; TSSOP-14    
| U69        OPA4348     ; TSSOP-14    
| U70        BC847BPN    ; SOT-363     
| U71        BC847BPN    ; SOT-363     
| U72        BC847BPN    ; SOT-363     
| U73        BC847BPN    ; SOT-363     
| U74        INA2322     ; TSSOP-14    
| U75        OPA4348     ; TSSOP-14    
| U76        BC847BPN    ; SOT-363     
| U77        BC847BPN    ; SOT-363     
| U78        BC847BPN    ; SOT-363     
| U79        BC847BPN    ; SOT-363     
| U80        INA2322     ; TSSOP-14    
| U81        OPA4348     ; TSSOP-14    
| U82        BC847BPN    ; SOT-363     
| U83        BC847BPN    ; SOT-363     
| U84        BC847BPN    ; SOT-363     
| U85        BC847BPN    ; SOT-363     
| U86        INA2322     ; TSSOP-14    
| U87        OPA4348     ; TSSOP-14    
| U88        BC847BPN    ; SOT-363     
| U89        BC847BPN    ; SOT-363     
| U90        BC847BPN    ; SOT-363     
| U91        BC847BPN    ; SOT-363     
| U92        INA2322     ; TSSOP-14    
| U93        OPA4348     ; TSSOP-14    
| U94        BC847BPN    ; SOT-363     
| U95        BC847BPN    ; SOT-363     
| U96        BC847BPN    ; SOT-363     
| U97        BC847BPN    ; SOT-363     
| U98        INA2322     ; TSSOP-14    
| U99        OPA4348     ; TSSOP-14    
| U100       BC847BPN    ; SOT-363     
| U101       BC847BPN    ; SOT-363     
| U102       BC847BPN    ; SOT-363     
| U103       BC847BPN    ; SOT-363     
| U104       INA2322     ; TSSOP-14    
| U105       OPA4348     ; TSSOP-14    
| U106       NX3225SA    ; NDK_XTAL    
| U107       REG101      ; SOIC-8      
| U108       BAT54A      ; SOT-23      
| U109       TLE2426     ; SOIC-8      
| U110       JUMP        ; 2x100mil    
| U111       JUMP        ; 2x100mil    
| U112       JUMP        ; 2x100mil    
#End Cmp

#Cmp ( order = Value )
| 0.001uf      C38       ; 0402        
| 0.001uf      C51       ; 0402        
| 0.01uf       C22       ; 0402        
| 0.01uf       C37       ; 0402        
| 0.01uf       C39       ; 0402        
| 0.01uf       C40       ; 0402        
| 0.01uf       C43       ; 0402        
| 0.01uf       C54       ; 0402        
| 0.01uf       C55       ; 0402        
| 0.01uf       C59       ; 0402        
| 0.01uf       C60       ; 0402        
| 0.01uf       C62       ; 0402        
| 0.01uf       C85       ; 0402        
| 0.01uf       C113      ; 0402        
| 0.01uf       C114      ; 0402        
| 0.01uf       C126      ; 0402        
| 0.01uf       C127      ; 0402        
| 0.01uf       C139      ; 0402        
| 0.01uf       C140      ; 0402        
| 0.01uf       C152      ; 0402        
| 0.01uf       C153      ; 0402        
| 0.01uf       C165      ; 0402        
| 0.01uf       C166      ; 0402        
| 0.01uf       C178      ; 0402        
| 0.01uf       C179      ; 0402        
| 0.01uf       C191      ; 0402        
| 0.01uf       C192      ; 0402        
| 0.01uf       C204      ; 0402        
| 0.01uf       C205      ; 0402        
| 0.022uf      C23       ; 0402        
| 0.15uf       C109      ; 0402        
| 0.15uf       C110      ; 0402        
| 0.15uf       C122      ; 0402        
| 0.15uf       C123      ; 0402        
| 0.15uf       C135      ; 0402        
| 0.15uf       C136      ; 0402        
| 0.15uf       C148      ; 0402        
| 0.15uf       C149      ; 0402        
| 0.15uf       C161      ; 0402        
| 0.15uf       C162      ; 0402        
| 0.15uf       C174      ; 0402        
| 0.15uf       C175      ; 0402        
| 0.15uf       C187      ; 0402        
| 0.15uf       C188      ; 0402        
| 0.15uf       C200      ; 0402        
| 0.15uf       C201      ; 0402        
| 0.1uf        C4        ; 0402        
| 0.1uf        C5        ; 0402        
| 0.1uf        C6        ; 0402        
| 0.1uf        C7        ; 0402        
| 0.1uf        C8        ; 0402        
| 0.1uf        C9        ; 0402        
| 0.1uf        C10       ; 0402        
| 0.1uf        C11       ; 0402        
| 0.1uf        C15       ; 0402        
| 0.1uf        C16       ; 0402        
| 0.1uf        C24       ; 0402        
| 0.1uf        C26       ; 0402        
| 0.1uf        C28       ; 0402        
| 0.1uf        C29       ; 0402        
| 0.1uf        C33       ; 0402        
| 0.1uf        C34       ; 0402        
| 0.1uf        C35       ; 0402        
| 0.1uf        C41       ; 0402        
| 0.1uf        C45       ; 0402        
| 0.1uf        C46       ; 0402        
| 0.1uf        C47       ; 0402        
| 0.1uf        C48       ; 0402        
| 0.1uf        C49       ; 0402        
| 0.1uf        C52       ; 0402        
| 0.1uf        C53       ; 0402        
| 0.1uf        C61       ; 0402        
| 0.1uf        C72       ; 0402        
| 0.1uf        C83       ; 0402        
| 0.1uf        C87       ; 0402        
| 0.1uf        C89       ; 0402        
| 0.1uf        C111      ; 0402        
| 0.1uf        C112      ; 0402        
| 0.1uf        C124      ; 0402        
| 0.1uf        C125      ; 0402        
| 0.1uf        C137      ; 0402        
| 0.1uf        C138      ; 0402        
| 0.1uf        C150      ; 0402        
| 0.1uf        C151      ; 0402        
| 0.1uf        C163      ; 0402        
| 0.1uf        C164      ; 0402        
| 0.1uf        C176      ; 0402        
| 0.1uf        C177      ; 0402        
| 0.1uf        C189      ; 0402        
| 0.1uf        C190      ; 0402        
| 0.1uf        C202      ; 0402        
| 0.1uf        C203      ; 0402        
| 0.1uf        C209      ; 0402        
| 0.1uf        C215      ; 0402        
| 0.47uf       C105      ; 0402        
| 0.47uf       C106      ; 0402        
| 0.47uf       C107      ; 0402        
| 0.47uf       C108      ; 0402        
| 0.47uf       C118      ; 0402        
| 0.47uf       C119      ; 0402        
| 0.47uf       C120      ; 0402        
| 0.47uf       C121      ; 0402        
| 0.47uf       C131      ; 0402        
| 0.47uf       C132      ; 0402        
| 0.47uf       C133      ; 0402        
| 0.47uf       C134      ; 0402        
| 0.47uf       C144      ; 0402        
| 0.47uf       C145      ; 0402        
| 0.47uf       C146      ; 0402        
| 0.47uf       C147      ; 0402        
| 0.47uf       C157      ; 0402        
| 0.47uf       C158      ; 0402        
| 0.47uf       C159      ; 0402        
| 0.47uf       C160      ; 0402        
| 0.47uf       C170      ; 0402        
| 0.47uf       C171      ; 0402        
| 0.47uf       C172      ; 0402        
| 0.47uf       C173      ; 0402        
| 0.47uf       C183      ; 0402        
| 0.47uf       C184      ; 0402        
| 0.47uf       C185      ; 0402        
| 0.47uf       C186      ; 0402        
| 0.47uf       C196      ; 0402        
| 0.47uf       C197      ; 0402        
| 0.47uf       C198      ; 0402        
| 0.47uf       C199      ; 0402        
| 1.5k         R31       ; 0402        
| 1.5k         R186      ; 0402        
| 10           R14       ; 0402        
| 100k         R2        ; 0402        
| 100k         R13       ; 0402        
| 100k         R35       ; 0402        
| 100k         R44       ; 0402        
| 100k         R54       ; 0402        
| 100k         R64       ; 0402        
| 100k         R65       ; 0402        
| 100k         R80       ; 0402        
| 100k         R81       ; 0402        
| 100k         R96       ; 0402        
| 100k         R97       ; 0402        
| 100k         R112      ; 0402        
| 100k         R113      ; 0402        
| 100k         R128      ; 0402        
| 100k         R129      ; 0402        
| 100k         R144      ; 0402        
| 100k         R145      ; 0402        
| 100k         R160      ; 0402        
| 100k         R161      ; 0402        
| 100k         R176      ; 0402        
| 100k         R177      ; 0402        
| 100uf        C1        ; 2mmradial   
| 100uf        C68       ; 2mmradial   
| 100uf        C75       ; 2mmradial   
| 100uf        C77       ; 2mmradial   
| 100uf        C88       ; 2mmradial   
| 10k          R1        ; 0402        
| 10k          R4        ; 0402        
| 10k          R5        ; 0402        
| 10k          R6        ; 0402        
| 10k          R19       ; 0402        
| 10k          R21       ; 0402        
| 10k          R26       ; 0402        
| 10k          R27       ; 0402        
| 10k          R28       ; 0402        
| 10k          R29       ; 0402        
| 10k          R30       ; 0402        
| 10k          R36       ; 0402        
| 10k          R39       ; 0402        
| 10k          R41       ; 0402        
| 10k          R43       ; 0402        
| 10k          R58       ; 0402        
| 10k          R59       ; 0402        
| 10k          R74       ; 0402        
| 10k          R75       ; 0402        
| 10k          R90       ; 0402        
| 10k          R91       ; 0402        
| 10k          R106      ; 0402        
| 10k          R107      ; 0402        
| 10k          R122      ; 0402        
| 10k          R123      ; 0402        
| 10k          R138      ; 0402        
| 10k          R139      ; 0402        
| 10k          R154      ; 0402        
| 10k          R155      ; 0402        
| 10k          R170      ; 0402        
| 10k          R171      ; 0402        
| 10k          R187      ; 0402        
| 10uf         C3        ; 0603        
| 10uf         C12       ; 0603        
| 10uf         C13       ; 0603        
| 10uf         C14       ; 0805        
| 10uf         C27       ; 0603        
| 10uf         C30       ; 0603        
| 10uf         C32       ; 0603        
| 10uf         C36       ; 0603        
| 10uf         C42       ; 0805        
| 10uf         C44       ; 0603        
| 10uf         C50       ; 0603        
| 10uf         C63       ; 0805        
| 10uf         C76       ; 0805        
| 10uf         C213      ; 0805        
| 10uf         C214      ; 0805        
| 10uf tant    C90       ; 0805        
| 10uf tant    C92       ; 0805        
| 10X100       U17       ; 11x100mil   
| 10X100       U20       ; 11x100mil   
| 12.4k        R20       ; 0603        
| 180          R22       ; 0402        
| 180          R25       ; 0402        
| 180k         R33       ; 0402        
| 180k         R47       ; 0402        
| 18pf         C80       ; 0402        
| 18pf         C82       ; 0402        
| 1uf          C2        ; 0402        
| 1uf          C17       ; 0402        
| 1uf          C21       ; 0402        
| 1uf          C25       ; 0402        
| 1uf          C56       ; 0402        
| 1uf          C57       ; 0402        
| 1uf          C58       ; 0402        
| 1uf          C65       ; 0402        
| 1uf          C66       ; 0402        
| 1uf          C69       ; 0402        
| 1uf          C71       ; 0402        
| 1uf          C73       ; 0402        
| 1uf          C78       ; 0402        
| 1uf          C79       ; 0402        
| 1uf          C81       ; 0402        
| 1uf          C84       ; 0402        
| 1uf          C86       ; 0402        
| 1uf          C91       ; 0402        
| 1uf          C93       ; 0402        
| 1uf          C94       ; 0402        
| 1uf          C95       ; 0402        
| 1uf          C96       ; 0402        
| 1uf          C97       ; 0402        
| 1uf          C98       ; 0402        
| 1uf          C99       ; 0402        
| 1uf          C100      ; 0402        
| 1uf          C101      ; 0402        
| 1uf          C102      ; 0402        
| 1uf          C103      ; 0402        
| 1uf          C104      ; 0402        
| 1uf          C115      ; 0402        
| 1uf          C116      ; 0402        
| 1uf          C117      ; 0402        
| 1uf          C128      ; 0402        
| 1uf          C129      ; 0402        
| 1uf          C130      ; 0402        
| 1uf          C141      ; 0402        
| 1uf          C142      ; 0402        
| 1uf          C143      ; 0402        
| 1uf          C154      ; 0402        
| 1uf          C155      ; 0402        
| 1uf          C156      ; 0402        
| 1uf          C167      ; 0402        
| 1uf          C168      ; 0402        
| 1uf          C169      ; 0402        
| 1uf          C180      ; 0402        
| 1uf          C181      ; 0402        
| 1uf          C182      ; 0402        
| 1uf          C193      ; 0402        
| 1uf          C194      ; 0402        
| 1uf          C195      ; 0402        
| 1uf          C206      ; 0402        
| 1uf          C207      ; 0402        
| 1uf          C208      ; 0402        
| 1uf          C210      ; 0402        
| 1uf          C211      ; 0402        
| 1uf          C212      ; 0402        
| 2.2k         R37       ; 0402        
| 2.2k         R40       ; 0402        
| 22k          R72       ; 0402        
| 22k          R73       ; 0402        
| 22k          R88       ; 0402        
| 22k          R89       ; 0402        
| 22k          R104      ; 0402        
| 22k          R105      ; 0402        
| 22k          R120      ; 0402        
| 22k          R121      ; 0402        
| 22k          R136      ; 0402        
| 22k          R137      ; 0402        
| 22k          R152      ; 0402        
| 22k          R153      ; 0402        
| 22k          R168      ; 0402        
| 22k          R169      ; 0402        
| 22k          R184      ; 0402        
| 22k          R185      ; 0402        
| 25           R9        ; 0402        
| 25           R11       ; 0402        
| 25           R189      ; 0402        
| 25           R190      ; 0402        
| 270          R8        ; 0402        
| 270          R10       ; 0402        
| 2nf          C18       ; 0402        
| 2nf          C31       ; 0402        
| 2nf          C64       ; 0402        
| 2nf          C74       ; 0402        
| 3.3k         R57       ; 0402        
| 3.3k         R62       ; 0402        
