rows:900 cols:2
-2.617 3.1203 
-2.588 1.9632 
-2.5945 2.1429 
-3.3638 2.8301 
-3.5993 2.8083 
-3.5896 2.1342 
-2.1465 3.1807 
-4.853 4.2665 
-3.2073 2.7488 
-2.7296 2.7954 
-3.6528 0.79848 
-2.5228 2.2255 
-3.0713 1.6067 
-3.9383 2.6138 
-2.8386 3.5256 
-3.2682 4.5233 
-3.4099 4.7985 
-3.7113 2.8831 
-2.9386 2.6798 
-4.8461 3.8175 
-3.3983 3.4902 
-3.5435 3.7653 
-3.9119 3.7783 
-2.3473 1.5197 
-3.7343 3.5404 
-2.4594 2.9085 
-2.0242 2.2397 
-3.1569 2.3064 
-2.7222 4.2815 
-2.3605 2.1903 
-3.081 1.7632 
-2.4591 3.2147 
-4.2626 5.0108 
-1.8896 3.0256 
-3.9896 3.3083 
-4.8288 2.0618 
-1.6155 4.6742 
-3.0627 3.125 
-2.5511 3.5301 
-3.3633 2.0479 
-4.0206 3.854 
-6.073 3.3891 
-2.3737 1.844 
-3.2867 3.0397 
-3.1973 2.5494 
-2.5944 3.1092 
-4.4193 2.7494 
-3.7294 2.8101 
-1.8527 1.9671 
-2.4021 2.6767 
-4.2813 3.7665 
-5.2033 4.7447 
-3.5712 1.8395 
-2.786 5.3774 
-2.0576 4.5261 
-2.9063 3.1685 
-4.1223 2.6988 
-2.6938 2.3013 
-4.1723 3.8328 
-3.961 2.3054 
-3.6537 2.5381 
-4.2294 3.8836 
-3.271 3.4359 
-3.9 3.8967 
-3.2857 3.5047 
-3.4624 2.5991 
-3.4098 2.4862 
-3.5035 3.7964 
-1.7667 2.3288 
-2.3897 4.1867 
-2.9409 3.7907 
-4.4669 3.2877 
-4.6258 3.0032 
-4.9648 3.3656 
-0.3948 6.5267 
-2.0276 2.8876 
-2.743 1.4434 
-3.9742 4.9151 
-4.1464 3.6098 
-2.4524 2.3521 
-1.4349 5.6173 
-4.6933 3.551 
-3.4494 3.2942 
-3.0843 2.2222 
-4.992 1.9351 
-2.1588 1.2316 
-3.4147 2.5771 
-1.0878 1.9469 
-3.3909 3.6478 
-2.5908 2.6824 
-4.1424 4.769 
-3.6249 4.5106 
-4.1687 3.164 
-2.6074 2.7172 
-1.6982 4.1522 
-3.5936 1.8535 
-1.3263 -2.0417 
-2.6691 -2.6155 
-2.4003 -0.68585 
-2.6718 -3.4551 
-1.4244 -3.7423 
-2.7781 -1.7947 
-3.0636 -0.80707 
-1.447 -2.8028 
-2.4234 -3.2656 
-1.6384 -2.1493 
-2.3519 -3.6364 
-1.7305 -1.9827 
-4.5644 -1.1716 
-1.5341 -1.7823 
-0.14644 -3.9092 
-0.96071 -2.5368 
-1.0891 -2.302 
-2.2397 -0.18642 
-1.819 -1.0851 
-1.7558 -2.0571 
-1.9036 -0.69064 
-2.8305 -3.0447 
-2.3523 -2.3483 
-2.1748 -0.58744 
-2.4807 -0.49762 
-1.1632 -1.2696 
0.53835 -1.5092 
-3.3233 -2.5861 
-1.8717 -1.2551 
-3.4424 -2.8282 
-0.69749 -1.4255 
-0.59009 -1.7182 
-3.6625 -0.86069 
-0.056316 -2.4259 
-3.0847 -1.3639 
-1.7732 -1.2068 
-0.90107 -2.8984 
-1.8528 -1.8438 
0.29567 -0.40275 
0.75256 -1.8876 
-1.8617 -2.3086 
-3.9071 -1.5433 
-2.365 -2.2751 
-2.8481 -1.5569 
-2.7648 -2.1348 
-3.1277 -2.0183 
-1.9218 -1.5392 
0.10663 -0.63768 
-2.7158 -1.5481 
-2.2805 -0.35162 
-0.83352 -4.0284 
-0.78718 -2.4493 
-1.5145 -1.764 
-0.97398 -2.8352 
-1.1293 -3.276 
-2.3818 -1.383 
-1.5711 -1.3873 
-2.2991 -1.7106 
-2.8999 -1.6047 
-1.3653 -2.8706 
-1.9325 -2.4977 
-2.1871 -2.1067 
-1.7083 -2.6878 
-1.0123 -1.6681 
-1.6071 0.36522 
-1.8054 -2.4822 
-1.7202 -1.3526 
-1.9488 -3.0344 
-2.7745 -0.66045 
-1.2132 -2.9691 
-0.59109 -1.7913 
-2.5341 -2.6186 
-0.072242 -1.488 
-2.1762 -1.9886 
-2.2438 -2.044 
-2.8976 0.94909 
-2.7923 -2.63 
-2.953 -2.0469 
-1.6461 0.68303 
-0.40297 -3.1467 
-1.4725 -1.447 
-1.1458 -3.0765 
-0.65815 -0.96936 
-4.4995 -1.6725 
-2.1676 -1.3479 
-1.647 -2.2789 
-1.2827 -1.7548 
-3.3049 -0.52749 
-3.0059 -4.2751 
-1.2093 -3.6333 
-2.1166 -1.5845 
-1.4469 -2.6548 
-2.9606 -2.2963 
-3.6338 -3.4969 
-1.2388 -2.9048 
-0.80669 -2.4042 
-0.36794 -2.7258 
-3.5322 -2.8665 
-3.3369 -2.4218 
-3.4738 -2.9427 
5.3419 -2.4049 
3.0116 -1.4721 
5.8179 -3.007 
3.6256 -0.91097 
2.5483 -0.21513 
3.3813 -2.3038 
4.9345 -2.0087 
5.0559 -1.4934 
4.1602 -0.79675 
4.2874 -1.478 
4.6329 -1.603 
2.541 -2.4828 
3.4183 -2.2315 
2.1699 -1.3866 
3.5509 -0.31715 
4.9493 -1.4316 
4.7174 -3.206 
6.2878 -1.5669 
4.1667 -2.0921 
1.8435 -2.2441 
5.6894 -2.2192 
5.2823 -2.8798 
3.4174 -2.3208 
4.2226 -2.7844 
4.7795 -2.365 
4.3847 -1.8827 
4.6964 -1.8257 
3.8873 -2.2157 
3.9612 -2.1526 
4.0881 -1.9663 
3.2103 -1.5417 
5.423 -0.71837 
4.0063 -1.3799 
4.6865 -2.2867 
3.1451 -1.402 
2.9248 -2.2455 
3.909 -3.7807 
3.7472 -4.3472 
5.1948 -3.7136 
4.6061 -2.2371 
4.5405 -2.6196 
2.5551 -2.7202 
3.0323 -1.9593 
4.2021 -2.659 
3.6521 -2.6305 
5.2901 -1.3904 
5.3412 -1.2177 
3.4192 0.43658 
4.8751 -1.6976 
5.3954 -1.9417 
4.321 -2.5741 
5.6234 -2.1952 
5.0624 -2.0505 
4.2141 -3.7558 
4.8768 -2.2574 
4.1944 -1.2505 
3.5851 -2.5708 
4.3585 -1.5058 
4.0362 -1.0086 
3.6354 -0.92286 
5.771 -1.2232 
4.2213 -4.2598 
6.7304 -2.5644 
3.7038 -1.0985 
4.5643 -1.6053 
5.5826 -1.9951 
6.7292 -1.5631 
4.3036 -0.86993 
3.2097 -1.8462 
4.8034 -2.7586 
2.6801 -2.1802 
3.7262 -2.2078 
4.2719 -1.1033 
5.4896 -1.5877 
5.4371 -1.4525 
3.9724 -1.8522 
4.9239 -2.3623 
3.6787 -1.9389 
4.6611 -1.7833 
5.9153 -3.3981 
4.1568 -1.8211 
3.6995 -1.0724 
3.5 -2.1102 
4.7165 -0.4276 
5.3373 -1.4395 
6.1257 -2.4203 
4.054 -2.1539 
4.163 -2.2752 
3.3673 -1.7589 
5.612 -1.2453 
3.9246 -2.2919 
3.5268 -1.5416 
6.1842 -0.24471 
4.8099 -1.0685 
4.7163 -1.1747 
2.9944 -2.8148 
4.434 -2.5342 
4.5201 -1.7574 
2.9078 -2.1006 
3.7742 -3.625 
-2.5144 -2.6848 
0.026189 -0.58685 
-1.7581 -0.49825 
1.0783 -0.91694 
-3.222 -0.8422 
-0.55124 -1.5279 
-0.99937 -0.27694 
-1.7562 -1.8499 
-0.59568 -1.7964 
-1.7939 -0.27466 
-0.14022 0.68654 
-0.93313 -1.3864 
-2.6394 -1.5051 
-3.4247 -0.59193 
-1.2838 0.072356 
0.14581 -0.032017 
-0.81883 -0.72985 
-0.94575 -1.6344 
-0.31225 -0.37024 
-2.3934 -1.0792 
0.42537 0.37695 
-1.8939 -2.4082 
-0.96224 -0.85877 
-1.3636 0.28972 
-0.85044 -1.4949 
-2.9445 -1.6248 
0.52389 -1.9336 
-0.45419 -1.2787 
1.0099 -1.2005 
0.41667 -0.86326 
-0.98852 -1.8833 
-1.939 -0.91746 
-2.7389 -1.6039 
-0.98303 -1.3687 
-0.78084 -1.8382 
0.045821 -1.2825 
-1.951 2.5699 
-0.2052 2.4075 
-0.92857 0.14692 
-1.7737 -0.21274 
-0.22584 -2.2781 
-0.73435 -1.5846 
-1.2351 -1.6194 
0.87729 -0.4647 
-0.39076 -0.51701 
-1.1103 -0.89152 
-0.72254 -1.3403 
-0.91295 -1.9258 
-0.82641 -0.99468 
-0.54641 0.13915 
-1.6035 -0.57264 
-1.797 -0.81897 
-0.63935 -0.34252 
0.88509 -0.41575 
-1.3068 -2.6165 
-2.0127 -0.98123 
-1.2385 -1.426 
-1.484 -3.034 
-1.3273 -2.3286 
-0.52448 -1.3199 
-1.13 -0.17457 
-1.5944 -1.2293 
-1.4438 -0.73775 
-2.3225 -1.898 
-1.8595 -3.1573 
-2.413 -0.90608 
-1.516 -1.9512 
-2.0851 0.17259 
-1.7072 0.7351 
-1.3017 -1.3717 
-2.2004 0.19286 
-1.0194 -0.046352 
-0.65963 -2.415 
-1.9632 -1.0334 
0.11392 -0.73888 
-2.5861 -0.47701 
-1.3918 -0.32321 
-2.4847 -0.3256 
-1.3446 -0.3216 
-2.3239 -1.3126 
-1.5748 -0.62076 
-1.7407 -3.2529 
-2.185 -2.1684 
-3.0649 0.20197 
-0.43494 -1.6607 
1.0001 -0.67244 
1.2233 0.50813 
-1.4922 -1.8889 
-1.046 -1.9593 
-1.4657 -1.4927 
-0.92405 -0.55894 
-1.9188 -1.2048 
-2.9195 -1.9778 
-1.0364 -2.5729 
-2.2251 -1.3703 
-2.9024 -1.2211 
1.3742 -1.5352 
-1.2333 -1.262 
-0.59612 -2.0954 
0.19247 -0.45077 
1.8254 -0.79383 
4.1446 0.54096 
4.669 -0.55906 
3.1512 1.9766 
3.9429 0.54466 
4.2918 -0.13791 
3.3854 0.61988 
3.9864 -0.0055828 
4.4121 1.1072 
3.0629 -0.18559 
4.8352 -1.1214 
5.0945 0.24645 
4.3212 1.561 
4.0151 -1.1966 
2.8355 -0.24235 
4.4948 1.0048 
2.7842 -1.9201 
5.5908 0.62545 
4.5265 0.75296 
4.2648 0.21348 
3.6064 -0.77023 
1.8237 -0.0071347 
2.8043 0.093187 
4.3653 0.93525 
6.4124 0.66352 
4.7402 -0.35023 
4.3097 1.6199 
3.458 -0.050833 
4.1223 -0.8127 
4.9623 -0.43842 
3.746 0.85861 
5.8918 0.19522 
2.7797 0.88886 
3.6238 0.069222 
4.0524 2.4868 
2.0461 -1.6656 
4.5654 -0.41593 
4.0778 -0.084225 
4.0807 0.089252 
4.7947 1.4561 
5.0437 0.21945 
4.8022 -0.11488 
3.5312 0.068602 
3.9534 0.75149 
4.3535 -0.68943 
2.7432 0.45081 
2.964 -1.565 
3.573 -0.078796 
4.0777 -0.94179 
5.7909 -0.65286 
4.7973 0.28253 
3.5575 -1.1251 
3.3709 -0.98897 
5.5338 -1.5159 
6.7335 -2.2285 
4.1674 -0.15152 
3.5211 1.1627 
2.5873 -0.18194 
4.975 -0.23395 
4.2897 -1.0467 
5.1654 1.5833 
3.0913 -0.24941 
4.2406 1.294 
3.346 0.36198 
5.275 -0.26305 
3.4488 1.0821 
3.9126 0.98243 
3.6522 -0.11144 
4.994 1.296 
4.4284 1.7813 
2.9958 -0.065615 
3.3673 -0.25568 
2.9543 0.40464 
4.5057 0.35176 
4.332 0.80751 
2.3646 -0.25559 
2.0932 0.71511 
3.9596 1.0486 
4.6972 0.17755 
4.1688 0.1533 
2.4562 -1.2543 
2.4482 -1.1728 
4.8671 -1.4614 
3.8546 -1.2443 
3.6138 -0.1551 
5.3162 -1.6149 
3.2035 2.2461 
4.1354 0.73928 
4.4178 -2.0676 
4.8199 -1.1546 
3.1456 -0.10719 
4.3573 -1.7129 
6.7485 -0.45989 
2.487 1.091 
4.434 -0.16388 
3.7702 -0.06724 
3.1729 -1.0016 
3.168 -0.55566 
4.4979 -1.3516 
6.3156 0.36421 
-4.4522 3.4527 
-3.2166 3.3798 
-2.7628 2.0951 
-2.9228 1.5729 
-4.0348 2.5108 
-4.504 1.3437 
-5.224 1.875 
-3.8815 1.4695 
-3.0405 2.1056 
-4.3409 3.1284 
-4.1733 2.7425 
-3.3837 3.1436 
-3.1361 1.0853 
-5.4169 2.1798 
-3.8 1.0167 
-3.8042 2.3848 
-4.1511 2.3257 
-3.1072 3.2963 
-4.3642 3.0992 
-4.8262 2.6532 
-3.724 1.4949 
-3.5402 1.524 
-4.2175 -0.051561 
-3.2039 1.5517 
-5.518 0.4488 
-5.0749 2.9298 
-7.0722 2.9019 
-3.4786 2.1383 
-4.991 1.6216 
-4.2531 2.1431 
-2.9907 3.605 
-3.949 3.3491 
-4.4404 1.5516 
-4.8485 2.1684 
-4.2404 0.8795 
-3.3971 2.4007 
-5.5163 2.7391 
-4.0683 2.9 
-3.2176 0.46878 
-5.4207 2.5046 
-3.3306 1.1358 
-3.3168 1.6234 
-4.8821 2.788 
-5.5045 2.2982 
-3.5669 1.8363 
-3.1917 2.6067 
-3.4211 3.6345 
-3.2372 1.3765 
-5.1821 0.6499 
-3.4162 0.83776 
-4.58 1.0557 
-4.5614 1.3288 
-5.5559 2.5767 
-2.8998 -0.08577 
-3.8249 2.236 
-2.9964 1.2216 
-2.489 3.0996 
-5.1372 1.1444 
-3.357 2.0076 
-4.0128 1.0624 
-3.0857 1.3184 
-2.8923 1.7399 
-3.1795 1.7712 
-4.8176 1.4752 
-4.1265 3.1283 
-3.7359 2.5501 
-0.84147 3.8551 
-2.7734 1.7227 
-1.6794 3.0666 
-3.5855 -0.099239 
-3.7882 2.6385 
-3.3868 2.3715 
-4.5278 1.6258 
-2.7584 2.6953 
-4.1576 2.8776 
-5.3736 3.0336 
-3.1292 2.4198 
-5.5685 2.6011 
-5.8443 1.326 
-3.7116 0.90482 
-4.9509 1.7324 
-4.9107 2.1866 
-4.1619 2.9509 
-4.4889 1.2095 
-4.2228 1.5105 
-3.7279 4.9745 
-5.1685 1.3774 
-5.2242 3.9203 
-6.0995 2.9611 
-4.3902 1.4422 
-3.3357 1.8934 
-4.7023 1.7848 
-3.4987 2.4735 
-3.4597 3.3656 
-3.0092 0.3622 
-3.0106 4.0237 
-4.6888 2.7778 
-4.8568 1.4511 
-3.9516 1.874 
-4.6649 2.2996 
-2.7038 -3.5209 
-1.7992 -4.279 
-1.9098 -3.0562 
-3.3587 -3.2097 
-3.1299 -2.8079 
-2.2663 -2.0077 
-2.8797 -2.4238 
-1.8637 -1.6942 
-3.6868 -3.7293 
-2.5283 -3.8646 
-2.7117 -3.0949 
-1.6081 -1.6168 
-4.3455 -1.6963 
-2.9993 -3.1258 
-2.9465 -3.5969 
-5.3419 -4.5206 
-1.7519 -2.3282 
-0.19077 -2.9772 
-3.2322 -4.1778 
-2.713 -3.3346 
-3.4646 -4.8295 
-2.6157 -2.57 
-3.3798 -3.174 
-3.1018 -1.3688 
-1.3818 -4.3594 
-3.8472 -2.0295 
-3.5759 -2.8564 
-3.0759 -2.9174 
-3.1325 -2.2833 
-1.5607 -1.8065 
-0.96874 -4.0711 
-3.9782 -1.6811 
-3.641 -4.21 
-2.4795 -4.0741 
-3.3807 -3.6726 
-1.0071 -2.2635 
-1.3641 -4.07 
-2.441 -2.6653 
-2.4364 -2.5881 
-3.3384 -2.8459 
-2.2364 -2.4454 
-1.8726 -4.1728 
-2.8584 -1.9924 
-1.0719 -2.8865 
-2.3294 -2.2699 
-3.1101 -3.9835 
-2.629 -2.948 
-1.9034 -2.1224 
-3.3982 -1.9859 
-3.0855 -3.0843 
-0.62671 -4.8535 
-3.4739 -4.0968 
-2.0537 -2.7814 
-2.1818 -2.2058 
-1.411 -2.5369 
-2.474 -3.6126 
-5.4652 -0.7556 
-3.8525 -2.9277 
-2.4883 -2.1345 
-2.7422 -3.4157 
-1.0376 -4.1149 
-1.5937 -2.3147 
-2.5032 -1.9623 
-2.9172 -1.1778 
-4.5485 -3.529 
-1.1368 -4.628 
-2.866 -1.3827 
-4.546 -2.7359 
-2.5667 -4.1271 
-2.897 -3.5592 
-3.5703 -3.8088 
-2.5069 -1.839 
-3.7075 -2.4079 
-4.348 -2.7573 
-4.7543 -2.7595 
-3.3638 -3.8215 
-3.6271 -2.0069 
-2.5598 -2.6536 
-4.5026 -3.2611 
-3.2082 -3.1847 
-4.5051 -3.1017 
-1.1903 -3.887 
-3.117 -2.2586 
-1.7738 -1.6078 
-2.5051 -0.5261 
-2.0914 -2.4961 
-4.1542 -3.8225 
-1.7424 -2.799 
-1.5475 -4.0071 
-5.0768 -3.6132 
-3.1765 -3.659 
-3.6521 -3.8332 
-2.8435 -2.6218 
-3.8502 -4.1153 
-2.721 -2.3328 
-2.4029 -2.2047 
-2.7553 -1.9625 
-3.1183 -3.0204 
-4.2894 -2.381 
-2.9424 -1.1969 
